Funder,Funder Country,Funder Type,Recipient Name,Recipient URL,Recipient City,Recipient State,Recipient Country,Currency,Amount (original currency),Amount (USD),Paid/Auth,Transaction Type,Duration (Months),FY,Grant Description,Source URL,Publication,Title,Author,Publication Date,Date added,Crisis
Tripadvisor Foundation,United States,Company-sponsored foundation,World Central Kitchen,https://wck.org/,Washington,DC,United States,USD,"$1,000,000","$1,000,000",Authorized,Matching grants,,2022,The Tripadvisor Foundation is supporting World Central Kitchen in its Ukraine relief efforts and has so far matched $1 million in donations.,https://www.traveltech.org/travel-technology-industry-supports-the-people-of-ukraine/,Travel Tech,Travel Technology Industry Supports the People of Ukraine,,4/15/2022,4/20/2022,Ukraine
Trucking Cares Foundation,United States,Public charity,Multiple Recipients,,,,,USD,"$42,500","$42,500",Authorized,Cash,,2022,"The Trucking Cares Foundation board approved donations totaling $42,500 to three organizations involved in relief efforts in Ukraine and its neighbors: Save the Children, the International Red Cross and the United Nations Children's Fund.",https://www.truckersnews.com/news/article/15289816/industry-foundation-donates-over-40000-for-ukraine-humanitarian-aid,Truckers News,"Industry foundation donates over $40,000 for Ukraine humanitarian aid",Truckers News Staff (TN),3/16/2022,3/22/2022,Ukraine
TS LOTTO Foundation,Poland,Independent foundation,Polish Red Cross,http://www.pck.pl/,Warsaw,,Poland,PLN,"200,000 z?","$46,000 ",Authorized,Cash,,2022,"The TS LOTTO Foundation has donated PLN 200,000 to the Polish Red Cross and PLN 200,000 to Polish Caritas, charities currently helping refugees",https://www.european-lotteries.org/sites/default/files/2022-03/EL%20Member%20Initiatives%20for%20Ukraine_1.pdf,European Lotteries,War in Ukraine: Support by EL Members to society,,,4/1/2022,Ukraine 
TS LOTTO Foundation,Poland,Independent foundation,Polish Caritas,https://www.caritas.eu/caritas-poland/,Warsaw,,Poland,PLN,"200,000 z?","$46,000 ",Authorized,Cash,,2022,"The TS LOTTO Foundation has donated PLN 200,000 to the Polish Red Cross and PLN 200,000 to Polish Caritas, charities currently helping refugees",https://www.european-lotteries.org/sites/default/files/2022-03/EL%20Member%20Initiatives%20for%20Ukraine_1.pdf,European Lotteries,War in Ukraine: Support by EL Members to society,,,4/1/2022,Ukraine 
Tuborg Foundation,Denmark,Company-sponsored foundation,Unknown Recipient(s),,,,,DKK,"25,000,000 kr.","$3,750,000",Authorized,Pledge,,2022,"The Carlsberg Foundation and the Tuborg Foundation will donate DKK 75 million (EUR 10 million) to the relief efforts in Ukraine. Funds will be donated, amongst others, through the Danish branches of recognised international aid organisations with the purpose to support the massive relief efforts currently underway. The funds will be used for general humanitarian relief efforts and by partnering with local organisations to support all Ukrainian people in need. ",https://www.carlsberggroup.com/newsroom/carlsberg-group-the-carlsberg-foundation-and-the-tuborg-foundation-donate-dkk-75-million-to-relief-efforts-in-ukraine/,,,,3/3/2022,3/5/2022,Ukraine
TWI Ltd,United Kingdom,Corporate giving program,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),https://www.unocha.org/,New York,NY,United States,USD,,"$10,414",Paid,Cash,,2022,Cash donation to UHF.,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/29/2022,9/19/2022,Ukraine
Twitter for Good,United States,Corporate giving program,GlobalGiving,https://www.globalgiving.org/,Washington,DC,United States,USD,"$267,000","$267,000",Authorized ,Employee matching gifts,,2022,"TWITTER has made a donation of up to USD $267,000 through its employee matching program to the GlobalGiving Ukraine Crisis Relief Fund.",https://www.globalcitizen.org/en/content/stand-up-for-ukraine-impact-report/?utm_source=referral_partner&utm_medium=partner_unspecified_generaltoolkit&utm_campaign=global_ukraine_engagement&utm_content=ctalearn_story,Global Citizen,$10.1 Billion (€9.1 Billion) Pledged in New Grants and Loans as Part of the Stand Up for Ukraine Event to Support Those Who Have Had to Flee Their Homes in Ukraine,,4/9/2022,4/11/2022,Ukraine
U.S. Bank Foundation,United States,Company-sponsored foundation,American Red Cross,https://www.redcross.org/,Washington,DC,United States,USD,"$100,000 ","$100,000",Authorized,Cash,,2022,"U.S. Bank is donating $100,000 to the Red Cross, and will activate ATMs across its network for Red Cross donations supporting Ukraine humanitarian relief.",https://ccc.bc.edu/content/ccc/blog-home/2022/03/companies-respond-to-war-in-ukraine.html,Boston College Center for Corporate Citizenship website,How Companies Are Responding to the War in Ukraine: A Roundup,Katherine V. Smith,3/1/2022,4/14/2022,Ukraine
U.S. Travel Association,United States,Corporate giving program,World Food Programme (WFP),https://www.wfp.org/,Rome,,Italy,USD,"$24,250","$24,250",Paid,Cash,,2022,Donation for Ukraine relief from association linked to the travel industry.,https://data.humdata.org/viz-ukraine-ps-tracker/?org=CBi-PROVIDER-321,Ukraine Private Sector Donations Tracker,Dashboard,,4/17/2022,5/26/2022,Ukraine
Uber Technologies,United States,Corporate giving program,International Rescue Committee (IRC),https://www.rescue.org/,New York,NY,United States,USD,"$1,000,000","$1,000,000",Authorized,Matching grants,,2022,"Uber is actively working with various organizations to establish and support relief efforts in Ukraine, and announced that the company is launching an in-app button for users to donate to the International Rescue Committee and will match donations made up to $1 million. ",https://www.insidernj.com/press-release/uber-creates-in-app-feature-for-riders-to-donate-to-support-humanitarian-efforts-in-ukraine/,Insider NJ,Uber Creates In-App Feature For Riders to Donate to Support Humanitarian Efforts in Ukraine ,,3/3/2022,3/8/2022,Ukraine
Uber Technologies,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$500,000","$500,000",Authorized,Cash,,2022,"Uber is donating $500,000 to the International Federation of Red Cross and World Food Program USA in support of the UN World Food Programme’s humanitarian efforts in Ukraine and neighboring countries.",https://www.uber.com/newsroom/supporting-ukraine/,Insider NJ,Uber Creates In-App Feature For Riders to Donate to Support Humanitarian Efforts in Ukraine ,,3/3/2022,3/8/2022,Ukraine
Ubisoft Entertainment SA,France,Corporate giving program,Multiple Recipients,,,,,EUR,"€ 200,000","$218,000 ",Authorized,Cash,,2022,"Ubisoft has donated €200,000 to the Ukrainian Red Cross and Save the Children, to help meet the urgent needs of the Ukrainian population.",https://www.pcgamer.com/ubisoft-provides-emergency-housing-and-funding-for-employees-fleeing-ukraine/,PC Gamer,Ubisoft provides emergency housing and funding for employees fleeing Ukraine,Andy Chalk,3/1/2022,4/1/2022,Ukraine
UCB,Belgium,Corporate giving program,Multiple Recipients,,,,,EUR,"€ 300,000","$327,000",Authorized,Cash,,2022,"To support humanitarian efforts in response to the crisis in Ukraine, UCB has donated EUR 300,000 to the International Rescue Committee and the Belgian Red Cross. ",https://www.efpia.eu/news-events/the-efpia-view/efpia-news/pharmaceutical-industry-response-to-the-war-in-ukraine/,The EFPIA View,Pharmaceutical industry response to the war in Ukraine,,,3/25/2022,Ukraine
UCHealth,United States,Public charity,Project CURE,http://www.projectcure.org,Centennial,CO,United States,USD,"$200,000","$200,000",Authorized,In-kind gifts,,2022,UCHealth is donating medical supplies to be sent to Ukraine.,https://krdo.com/news/2022/03/15/200k-worth-of-medical-supplies-shipped-from-colorado-springs-to-ukraine/,KRDO,$200k worth of medical supplies shipped from Colorado Springs to Ukraine,Mallory Anderson,3/15/2022,3/16/2022,Ukraine
UEFA Foundation for Children,Switzerland,Independent foundation,Football Association of Moldova,https://fmf.md/,Chi?in?u,,Moldova,EUR,"€ 100,000","$109,000",Authorized,Cash,,2022,"UEFA confirmed the emergency fund of €100,000 will be provided to the Football Association of Moldova, which is working alongside humanitarian organisations. Provisions such as medicines and supplies to children's hospitals within Ukraine are included in the package.",https://en.as.com/en/2022/03/01/soccer/1646161283_263159.html, DIARIO AS,UEFA foundation pledges €1m to aid Ukrainian children,,3/1/2022,3/3/2022,Ukraine
UEFA Foundation for Children,Switzerland,Independent foundation,Unknown Recipient(s),,,,,EUR,"€ 1,000,000","$1,090,000",Authorized,Pledge,,2022,"UEFA's Foundation for Children will donate €1 million to assist children of Ukraine, European football's governing body has confirmed. ",https://en.as.com/en/2022/03/01/soccer/1646161283_263159.html, DIARIO AS,UEFA foundation pledges €1m to aid Ukrainian children,,3/1/2022,3/3/2022,Ukraine
UJA-Federation of New York,United States,Public charity,American Jewish Joint Distribution Committee (JDC),https://www.jdc.org/,New York,NY,United States,USD,"$2,000,000 ","$2,000,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted the American Jewish Joint Distribution Committee (JDC) $2 million to ensure uninterrupted humanitarian aid including food, medicine, winter relief, shelter for the displaced, and emergency assistance for the most vulnerable Jews throughout Ukraine — JDC support is now expanding to help non-Jews as well, as the demand for assistance is immense. ",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Project Kesher,https://www.projectkesher.org/,New York,NY,United States,USD,"$35,000 ","$35,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted Project Kesher $35,000 to support single women and single mothers by providing emergency assistance to assure they have adequate food and supplies and the capacity to seek safe passage to other parts of Ukraine. Project Kesher is a grassroots organization with a significant presence in Ukraine.",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,The Afya Foundation,https://afyafoundation.org/,Yonkers,NY,United States,USD,"$175,000 ","$175,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted The Afya Foundation $175,000 to provide urgently needed medical supplies including surgical kits, wound care supplies, PPE, and portable biomedical equipment.",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Federation of Jewish Communities of Ukraine (FJC),,,,,USD,"$280,000 ","$280,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted the Federation of Jewish Communities of Ukraine (FJC) $280,000 to support food delivery and first aid packages to the 30,000 neediest members of the Jewish community throughout Ukraine. Each package will have 1-2 months’ worth of dried food and other essential supplies. ",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Ukrainian Humanitarian Fund,,,,,USD,"$500,000 ","$500,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted Ukrainian Humanitarian Fund $500,000 for emergency aid. UHF was established to help meet the most critical needs of the conflict-affected population in eastern Ukraine.",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Moishe House,https://www.moishehouse.org/new-york-city/,Brooklyn,NY,United States,USD,"$60,000 ","$60,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted Moishe House $60,000 for emergency relief for participants and staff who remain in Ukraine and assistance with evacuation and relocation. ",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,JUICE,,,,,USD,"$40,000 ","$40,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted JUICE $40,000 for temporary housing so that people can have access to food, hygiene, and a decent night’s sleep, as well as emergency kits and psychological support for those in route to neighboring countries. JUICE is a grassroots organization that creates innovative social activities for Jewish young adults and their families, enabling them to discover and develop their own Jewish identities.",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Jewish Agency for Israel (JAFI),https://www.jewishagency.org/,New York,NY,United States,USD,"$800,000 ","$800,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted the Jewish Agency for Israel (JAFI) $800,000 to assist large numbers of people who want to make aliyah very quickly by providing shelter, food, supplies, transport, and safe passage out of Ukraine by land and ultimately by air to Israel, including moving the aliyah processing center out of Kyiv.",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Israel Trauma Coalition,http://israeltraumacoalition.org/,New York,NY,United States,USD,"$150,000 ","$150,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted the Israel Trauma Coalition $150,000 to provide trauma training and support to therapists, care providers, and local mental health experts in Ukraine, where ITC has established and maintained relationships with professionals and organizations on the ground since the conflict in 2014. They are also supporting local communities under stress in neighboring countries that are taking in thousands of refugees.",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,IsraAid,https://www.israaid.org/,Tel Aviv,,Israel,USD,"$50,000 ","$50,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted IsraAid $50,000 to support refugees in Moldova by providing water, sanitation, hygiene, and psychological first aid.  ",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,JCC Krakow ,https://www.friendsofjcckrakow.org/,Suffern,NY,United States,USD,"$62,500 ","$62,500 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted JCC Krakow $62,500 for general support/relief for refugees, including partnering with local NGOs to provide legal services and psychological counseling.  ",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,HIAS,https://www.hias.org/,New York,NY,United States,USD,"$500,000 ","$500,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted HIAS $500,000 to meet refugees’ medium-term needs such as focus on mental health services, gender-based violence support, and legal aid for women and girls, children, and those identifying as LGBTQ+. HIAS is also providing food and shelter to refugees, as well as those who are still in Ukraine.  ",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Hillel International,https://www.hillel.org/,Washington,DC,United States,USD,"$80,000 ","$80,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted Hillel International $80,000 to Hillels in Ukraine, Poland, and Germany to provide emergency cash for staff and families to cover costs of displacement and resettlement, and emergency assistance for food, shelter, and mental health support.",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Odessa Chabad,,,,,USD,"$10,000 ","$10,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted Odessa Chabad $10,000 for food, shelter, and evacuation support. ",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Office of the Chief Rabbi of Poland,,,,,USD,"$150,000 ","$150,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted Office of the Chief Rabbi of Poland $150,000 for emergency crisis management services for Ukrainian refugees in Poland, including temporary housing and food; a day center at Hillel in Warsaw, including furniture, toys, and computers, along with staff and security; and temporary shelter at the Ukrainian-Polish border through the purchase of RV campers.  ",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,NATAN Worldwide Disaster Relief,https://natanrelief.org,Tel Aviv,,Israel,USD,"$100,000 ","$100,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted NATAN Worldwide Disaster Relief $100,000 to treat refugees with medical and trauma care. This work will soon expand to a full-scale medical and psychosocial center to aid refugees.",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Charity Taxi,,,,,USD,"$10,000 ","$10,000 ",Authorized,Cash,,2022,"UJA-Federation of New York has granted Charity Taxi $10,000 to support the  collection and distribution of donated items from the Jewish community in Hungary (food and other supplies such as space heaters, blankets, and hygiene kits). ",https://www.ujafedny.org/ukraine-crisis,,,,,3/11/2022,Ukraine
UJA-Federation of New York,United States,Public charity,United Hatzalah,https://israelrescue.org/,Jerusalem,,Israel,USD,"$500,000","$500,000",Authorized ,Cash,,2022,"To support urgent needs within Ukraine and Moldova, including the provision of humanitarian and medical services and supplies. United Hatzalah is among the few EMS organizations in parts of Moldova and is treating tens of thousands of refugees crossing the border. ",https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,World Jewish Relief,https://www.worldjewishrelief.org/,London,,United Kingdom,USD,"$500,000","$500,000",Authorized ,Cash,,2022,To provide humanitarian aid in Ukraine.  ,https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Afya Foundation,https://afyafoundation.org/,Yonkers,NY,United States,USD,"$180,000","$180,000",Authorized ,Cash,,2022,For a cargo plane to transport humanitarian and medical supplies to Ukraine.   ,https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Federation of Jewish Communities of Ukraine (Chabad),https://fjc.org.ua/,Dnepropetrovsk,,Ukraine,USD,"$180,000","$180,000",Authorized ,Cash,,2022,For general humanitarian aid in Ukraine.,https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Sephardic Heritage Museum,https://sephardicheritagemuseum.com/,Brooklyn,NY,United States,USD,"$180,000","$180,000",Authorized ,Cash,,2022,For rabbis in Ukraine to directly help their communities with humanitarian aid and rescue.   ,https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,The Jewish Agency for Israel (JAFI),https://www.jewishagency.org/,New York,NY,United States,USD,"$140,000","$140,000",Authorized ,Cash,,2022,To support the growing number of Ukrainians choosing to make aliyah.   ,https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,IsraAID,https://www.israaid.org/,Tel Aviv,,Israel,USD,"$100,000","$100,000",Authorized ,Cash,,2022,"To keep refugee children and mothers in safe spaces with family- oriented centers, trained family facilitators, and child security volunteers.   ",https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,JCC Budapest,http://web.balinthaz.hu/,Budapest,,Hungary,USD,"$100,000","$100,000",Authorized ,Cash,,2022,To support refugees from Ukraine in Hungary with humanitarian aid supplies and counseling.   ,https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,JCC Krakow,https://www.jcckrakow10.org/,Kraków,,Poland,USD,"$100,000","$100,000",Authorized ,Cash,,2022,"To collect and distribute food, medicine, hygienic supplies, toys and clothing for over 2,000 Ukrainians as well as to house Ukrainians.   ",https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,JCC Warsaw,https://www.jccwarszawa.pl/,Warsaw,,Poland,USD,"$100,000","$100,000",Authorized ,Cash,,2022,"To support the refugee families in Warsaw including professionals who speak Ukrainian, legal services, and assistance in finding employment for women.   ",https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,VOICE,https://voiceamplified.org/,New York,NY,United States,USD,"$100,000","$100,000",Authorized ,Cash,,2022,To protect women and girls against violence and respond to the unique humanitarian needs of other marginalized populations such as people of color and those identifying as LGBTQ.  ,https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,American Joint Distribution Committee (JDC),https://www.jdc.org/,New York,NY,United States,USD,"$100,000","$100,000",Authorized ,Cash,,2022,To support ongoing efforts in Ukraine to deliver critical humanitarian aid.  ,https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,JCC in Mykolaiv,,Mykolaiv,,Ukraine,USD,"$18,000","$18,000",Authorized ,Cash,,2022,"To support the Jewish community of Mykolaiv, Ukraine, with cash and humanitarian aid.",https://www.ujafedny.org/news/ujafederation-of-new-york-announces-new-funding-for-humanitarian-aid-for-ukraine,,,,3/21/2022,3/28/2022,Ukraine
UJA-Federation of New York,United States,Public charity,Unknown Recipient(s),,,,,USD,"$3,925,000","$3,925,000",Authorized ,Pledge,,2022,"UJA-Federation of New York will allocate a further $3.925 million in assistance for Ukraine. The new allocation brings UJA’s total emergency funding since the war started to over $20 million, which includes assistance for more than 720,000 refugees and evacuation for more than 90,000.  The new allocations will assist existing UJA partners to plan for aid services over the next 12 months. This response includes refugee assistance in New York, Israel, and countries bordering Ukraine, as well as critical humanitarian aid for the most vulnerable remaining in Ukraine.  ",https://www.ujafedny.org/news/ujafederation-of-new-york-allocates-an-additional-3925-million-for-ukraine-aid,,UJA-FEDERATION OF NEW YORK ALLOCATES AN ADDITIONAL $3.925 MILLION FOR UKRAINE AID,,10/3/2022,10/13/2022,Ukraine
Ukrainian Credit Union ,Canada,Corporate giving program,The Canada-Ukraine Foundation,https://www.cufoundation.ca/,Toronto,,Canada,CAD,"$100,000","$79,000",Authorized,Cash,,2022,"The Ukrainian Credit Union in Toronto donated $100,000 CAD to The Canada-Ukraine Foundation.",https://infotel.ca/newsitem/canada-ukraine-aid/cp615956138,INFO News.ca,Donations pouring in from Canadians to help support Ukrainians amid war,Maan Alhmidi and Rachel Watts,3/3/2022,3/8/2022,Ukraine
Ukrainian National Women’s League of America Detroit Regional Council,United States,Public Charity,AICM,https://aicm.eu/en,Kyiv,,Ukraine,USD,"$80,000 ","$80,000",Authorized,Cash,,2022,"Ukrainian National Women’s League of America Detroit Regional Council donated $80,000 to AICM, a nongovernmental organization based in Kyiv, whose 700 volunteers are providing aid in the cities of Kyiv, Kharkiv, Poltava, Dnipro, Zaporizhzhia, Odesa and Luhansk, serving tens of thousands of individuals in need of water.",https://www.candgnews.com/news/pasta-dinner-fundraiser-to-support-humanitarian-aid-for-ukraine-123086,C&G Newspapers,Pasta dinner fundraiser to support humanitarian aid for Ukraine,Kara Szymansky,4/6/2022,4/7/2022,Ukraine
Ukrainian National Women’s League of America Detroit Regional Council,United States,Public Charity,Unknown Recipient(s),,,,Ukraine,USD,"$40,000 ","$40,000",Authorized,Cash,,2022,"Ukrainian National Women’s League of America Detroit Regional Council donated $40,000 to four military hospitals in Kyiv, Lviv, Dnipro and Zhytomyr.",https://www.candgnews.com/news/pasta-dinner-fundraiser-to-support-humanitarian-aid-for-ukraine-123086,C&G Newspapers,Pasta dinner fundraiser to support humanitarian aid for Ukraine,Kara Szymansky,4/6/2022,4/7/2022,Ukraine
Ukrainian National Women’s League of America Detroit Regional Council,United States,Public Charity,Unknown Recipient(s),,,,,USD,"$40,000 ","$40,000",Authorized,Cash,,2022,"Ukrainian National Women’s League of America Detroit Regional Council used $40,000 to purchase 600 individual first aid kits and 100 blood transfusion kits for distribution among hospitals in need.",https://www.candgnews.com/news/pasta-dinner-fundraiser-to-support-humanitarian-aid-for-ukraine-123086,C&G Newspapers,Pasta dinner fundraiser to support humanitarian aid for Ukraine,Kara Szymansky,4/6/2022,4/7/2022,Ukraine
Ukrainian National Women’s League of America Detroit Regional Council,United States,Public Charity,Initiative E+,https://www.facebook.com/helpEplus/,Kyiv,,Ukraine,USD,"$10,000 ","$10,000",Authorized,Cash,,2022,"Ukrainian National Women’s League of America Detroit Regional Council donated $10,000 to Initiative E+ with whom UNWLA was working to address the COVID pandemic, and which quickly changed its operations to fill the need in tactical and general medical supplies.",https://www.candgnews.com/news/pasta-dinner-fundraiser-to-support-humanitarian-aid-for-ukraine-123086,C&G Newspapers,Pasta dinner fundraiser to support humanitarian aid for Ukraine,Kara Szymansky,4/6/2022,4/7/2022,Ukraine
Ukrainian San Antonio,United States,Public charity,Unknown Recipient(s),,,,,USD,"$250,000","$250,000",Authorized,In-kind gifts,,2022,"Ukrainian San Antonio sending $250,000 in trauma packs to hospitals, refugees from conflict in Ukraine.",https://www.mysanantonio.com/news/local/article/Ukrainian-San-Antonio-trauma-kits-17001630.php,MYSA,"Ukrainian San Antonio Sending $250,000 in Trauma Packs to Hospitals, Refugees",Priscilla Aguirre,3/17/2022,3/18/2022,Ukraine
Ukrainian Seniors' Centre,Canada,Corporate giving program,Canada-Ukraine Foundation,https://www.cufoundation.ca/,Calibri,,Canada,CAD,"$100,000","$79,000 ",Authorized,Cash,,2022,"Sudbury's Ukrainian Senior's Centre has collected about $150,000 through food, flag, and clothing sales to support humanitarian efforts in Ukraine. They've sent about $100,000 to Ukraine so far through their partnership with the Canada-Ukraine Foundation.",https://www.cbc.ca/news/canada/sudbury/urakrainian-seniors-centre-fundraising-1.6419786,CBC,Sudbury Seniors' Centre Raises $150K for Humanitarian Efforts in Ukraine,,4/16/2022,4/19/2022,Ukraine
UNFCU Foundation,United States,Public charity,Multiple Recipients,,,,,USD,"$50,000 ","$50,000 ",Authorized,Pledge; Matching grants,,2022,"UNFCU Foundation will match all donations up to $50,000 to support UNICEF and UNHCR's work in Ukraine.",https://twitter.com/UNFCUFoundation/status/1506254614299037700,Twitter,,,3/22/2022,3/31/2022,Ukraine
Unilever PLC,United Kingdom,Corporate giving program,Unknown Recipient(s),,,,,EUR,"€ 5,000,000","$5,450,000",Authorized,Pledge; In-kind gifts,,2022,"Unilever is fully focused on ensuring the safety of its Ukrainian employees and their families, including helping with their evacuation where necessary, and providing additional financial support. Unilever has committed to donate €5m of essential Unilever products to the humanitarian relief effort.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/unilever-humanitarian-crisis-ukraine,,,,3/10/2022,3/10/2022,Ukraine
Union Pacific Corporation,United States,Corporate giving program,American Red Cross,https://www.redcross.org/,Washington,DC,United States,USD,"$250,000 ","$250,000",Authorized,Cash,,2022,"Union Pacific is making a donation of $250,000 to the American Red Cross to support humanitarian relief in Ukraine.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/union-pacific-railroad-humanitarian-crisis-ukraine,,,,3/24/2022,3/24/2022,Ukraine
Union Pacific Corporation,United States,Corporate giving program,Save the Children,http://www.savethechildren.org/,Fairfield,CT,United States,USD,"$250,000 ","$250,000",Authorized,Cash,,2022,"Union Pacific is making a donation of $250,000 to Save the Children to support humanitarian relief in Ukraine.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/union-pacific-railroad-humanitarian-crisis-ukraine,,,,3/24/2022,3/24/2022,Ukraine
Union Pacific Corporation,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$100,000 ","$100,000",Authorized,Pledge; Employee matching gifts,,2022,"Union Pacific Railroad is offering a 2:1 match on employee donations to the following charities supporting humanitarian efforts in Ukraine: The Salvation Army, American National Red Cross, UNICEF, GlobalGiving Foundation, Doctors Without Borders, and Save the Children.??????? So far Union Pacific employees have raised nearly $50,000 in matching donations from the company.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/union-pacific-railroad-humanitarian-crisis-ukraine,,,,3/24/2022,3/24/2022,Ukraine
United Church of Marco Island,United States,Public Charity,SOS Children's Villages in Ukraine,https://sos-ukraine.org/,Kyiv,,Ukraine,USD,"$38,801 ","$38,801",Authorized,Cash,,2022,For for the SOS Children’s Villages in Ukraine.,https://www.newspressnow.com/life/religion/bargain-baskets-march-to-help-ukraine-raises-38-000-for-ukrainian-childrens-orphanage/article_4a83d336-2011-54e9-8b5b-ecad9bf7e585.html,News-Press,"Bargain Basket's March to Help Ukraine Raises $38,000 for Ukrainian Children's Orphanage",Scott Shook,4/6/2022,4/7/2022,Ukraine
