Funder,Funder Country,Funder Type,Recipient Name,Recipient URL,Recipient City,Recipient State,Recipient Country,Currency,Amount (original currency),Amount (USD),Paid/Auth,Transaction Type,Duration (Months),FY,Grant Description,Source URL,Publication,Title,Author,Publication Date,Date added,Crisis
Canon,Japan,Corporate giving program,Muliple recipients,,,,,EUR,"€ 1,000,000","$1,090,000",Authorized,Cash,,2022,The Canon Group is making a donation of approximately one million euros (approximately JPY 130 million / USD $1.1 million) to the UNHCR refugee agency and other international humanitarian organizations. These funds will be used to provide support to the Ukrainian people whose lives have been so deeply affected. ,https://global.canon/en/news/2022/20220323-2.html,Canon website,Canon announces donation to support humanitarian efforts for Ukraine,Website,3/23/2022,4/22/2022,Ukraine
Canva Foundation,Australia,Company-sponsored foundation,Unknown Recipient(s),,,,,AUD,"$1,000,000","$730,000",Authorized ,Cash,,2022,"Canva has deployed $1,000,000 AUD in donations through Canva Foundation to Ukrainian contributors and a number of nonprofits including UNHCR, Save The Children Ukraine, Tabletochki, UNICEF, and World Vision to support those impacted and displaced by the war.",https://www.canva.com/newsroom/news/supporting-ukraine/,,Supporting Ukraine and Promoting Peace,,3/3/2022,12/6/2022,Ukraine
Capgemini SE,France,Corporate giving program,UNICEF France,https://www.unicef.fr/,Paris,,France,USD,,"$2,247,191",Paid,Cash,,2022,Cash donation to UNICEF National Committee France,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/28/2022,8/26/2022,Ukraine
Capri Holdings Ltd.,United Kingdom,Corporate giving program,Shop Without Cash Registers,,Brwinow,,Poland,EUR,"€ 1,000,000","$1,090,000",Authorized,Pledge,,2022,"Capri Holdings Ltd., parent of Michael Kors, Jimmy Choo and Versace, said it will be donating over 1 million euros in essential clothing such as coats, sweaters and shoes  from its brands through the company’s distribution center in Venlo, the Netherlands, to aid those displaced by the ongoing war in Ukraine. Donated products will be distributed within Poland and the Ukraine border through a Shop Without Cash Registers, an organization based in Brwinow, Poland. The organization has set up a location in donated space at the Galeria Brwinow Shopping Center, where the products and clothing are displayed on hangers in a store-like environment, making it more convenient for refugees to find the items they need.",https://wwd.com/fashion-news/fashion-scoops/capri-holdings-to-donate-over-1-million-euros-in-essential-clothing-to-aid-those-displaced-by-the-crisis-in-ukraine-1235149316/,Women's Wear Daily,Capri Holdings to Donate Over 1 Million Euros in Essential Clothing to Aid Those Displaced by War in Ukraine,Lisa Lockwood,4/4/2022,4/29/2022,Ukraine
"Cargill, Inc.",United States,Corporate giving program,Multiple Recipients,,,,,USD,"$1,200,000","$1,200,000",Authorized,Cash,,2022,"Cargill is contributing an initial $1.2 million to support partners in Ukraine relief efforts, including the International Red Cross, World Food Programme, Save the Children, World Central Kitchen and the European Food Banks Federation. Cargill is also matching employee donations and supporting impacted employees through its Employee Disaster Relief Fund.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/cargill-humanitarian-crisis-ukraine,,,,3/10/2022,3/10/2022,Ukraine
"Cargill, Inc.",United States,Corporate giving program,World Food Program USA (WFP USA),https://www.wfpusa.org/,Washington,DC,United States,USD,"$10,000,000","$10,000,000",Authorized ,Cash,,2022,"The World Food Program USA (WFP) has announced a $10 million grant from Cargill in support of the organization’s response to the global hunger crisis, which has escalated as a result of the war in Ukraine. The Ukraine crisis has triggered global price spikes in food, fuel, and fertilizers and threatens to push countries around the world into famine. To help stave off that prospect, the grant will support emergency food assistance and resilience-building initiatives, reaching millions of people in Ukraine and hunger hotspots around the world.",https://philanthropynewsdigest.org/news/cargill-awards-10-million-to-the-world-food-program-usa?_ga=2.215777567.984990677.1660221675-302500828.1596237949,PND,Cargill awards $10 million to the World Food Program USA,,8/12/2022,8/12/2022,Ukraine
Cargolux,Luxembourg,Corporate giving program,UNICEF,https://www.unicef.org/,New York,NY,United States,EUR,"€ 1,000,000","$1,090,000",Authorized,Cash,,2022,"Cargolux will contribute one million euros to UNICEF to aid humanitarian operations in Ukraine as a result of the conflict.

",https://www.stattimes.com/aviation/cargolux-donates-eur-35-million-to-support-ukraine-1344610?infinitescroll=1,The STAT Trade Times,Cargolux donates €3.5 million to support Ukraine,,3/5/2022,3/7/2022,Ukraine
Cargolux,Luxembourg,Corporate giving program,UNHCR,https://www.unhcr.org/en-us/,Geneva,,Switzerland,EUR,"€ 1,000,000","$1,090,000",Authorized,Cash,,2022,"Cargolux will contribute one million euros to UNHCR to aid humanitarian operations in Ukraine as a result of the conflict.

",https://www.stattimes.com/aviation/cargolux-donates-eur-35-million-to-support-ukraine-1344610?infinitescroll=1,The STAT Trade Times,Cargolux donates €3.5 million to support Ukraine,,3/5/2022,3/7/2022,Ukraine
Cargolux,Luxembourg,Corporate giving program,Médecins Sans Frontières (MSF),https://www.msf.org/,Geneva,,Switzerland,EUR,"€ 500,000","$545,000",Authorized,Cash,,2022,"Cargolux will contribute one million euros to Médecins Sans Frontières to aid humanitarian operations in Ukraine as a result of the conflict.

",https://www.stattimes.com/aviation/cargolux-donates-eur-35-million-to-support-ukraine-1344610?infinitescroll=1,The STAT Trade Times,Cargolux donates €3.5 million to support Ukraine,,3/5/2022,3/7/2022,Ukraine
Cargolux,Luxembourg,Corporate giving program,Unknown Recipient(s),,,,,EUR,"€ 1,000,000","$1,090,000",Authorized,Pledge,,2022,Cargolux pledged EUR 1 million to be distributed amongst initiatives by local organizations and communes at Cargolux’ home base in Luxembourg for relief efforts in Ukraine.,https://www.cargolux.com/media-room/media-releases/media-releases/Cargolux-pledges-millions-to-support-Ukraine,,,,3/4/2022,,Ukraine
